artist	nbr	tag1	tag2	artist:1
Nick Cave  The Bad Seeds	4	post-punk	rock	Nick Cave  The Bad Seeds
New Bomb Turks	4	punk	punk rock	New Bomb Turks
Mungo Jerry	4	classic rock	rock	Mungo Jerry
Moussier Tombola	4	french	dance	Moussier Tombola
Mirwais	4	electronic	trip-hop	Mirwais
Millencolin	4	punk rock	seen live	Millencolin
Mika	4	pop	british	Mika
Michel Sardou	4	chanson francaise	french	Michel Sardou
Michael Bublé	4	jazz	swing	Michael Bublé
Matt Bianco	4	jazz	Smooth Jazz	Matt Bianco
Mani	4	hip	hop	Mani
Lou Bega	4	pop	mambo	Lou Bega
Lorna	4	Reggaeton	dream pop	Lorna
Lorie	4	french	pop	Lorie
Les Jumo	4	french	Hip-Hop	Les Jumo
Le Grand Orchestre Du Splendid	4	french pop	french	Le Grand Orchestre Du Splendid
Larusso	4	french	female vocalists	Larusso
Laroche Valmont	4	french	80s	Laroche Valmont
La Bouche	4	eurodance	dance	La Bouche
L5	4	french	pop	L5
Kevin Lyttle	4	dancehall	reggae	Kevin Lyttle
Kaoma	4	latin	dance	Kaoma
Joe Dassin	4	french	chanson	Joe Dassin
Jet	4	rock	alternative	Jet
Jean-Jacques Goldman	4	french	chanson francaise	Jean-Jacques Goldman
Imany	4	soul	jazz	Imany
Hubert-Félix Thiéfaine	4	chanson francaise	french	Hubert-Félix Thiéfaine
Hot Water Music	4	punk	punk rock	Hot Water Music
Haddaway	4	dance	eurodance	Haddaway
Guttermouth	4	punk	punk rock	Guttermouth
George Benson	4	jazz	Smooth Jazz	George Benson
Extra	4	electronic	swedish	Extra
Elvis Crespo	4	merengue	latin	Elvis Crespo
Eisbrecher	4	industrial metal	industrial	Eisbrecher
Edward Maya	4	electronic	dance	Edward Maya
Edalam	4	reggae	dancehall	Edalam
Deep Purple	4	hard rock	classic rock	Deep Purple
Danny Elfman	4	Soundtrack	instrumental	Danny Elfman
Colonel Reyel	4	french	pop	Colonel Reyel
Cauet	4	french	humour	Cauet
Cartoon	4	Progressive rock	Avant-Prog	Cartoon
Carrapicho	4	brazil	folk	Carrapicho
Bob Sinclar	4	House	dance	Bob Sinclar
Billy Ze Kick Et Les Gamins En Folie	4	french	rock	Billy Ze Kick Et Les Gamins En Folie
Bellini	4	dance	math rock	Bellini
Aqua	4	pop	dance	Aqua
Alvaro Soler	4	pop	latin	Alvaro Soler
Alesha Dixon	4	pop	rnb	Alesha Dixon
A-Ha	4	80s	pop	A-Ha
19	4	j-pop	japanese	19
Zeke	3	punk	hardcore punk	Zeke
Zaz	3	jazz	french	Zaz
Zara Larsson	3	pop	swedish	Zara Larsson
